IP;MAC;State
10.0.0.0;ukjent;down
10.0.0.1;C4:77:AF:4A:7A:6F;up
10.0.0.2;F6:78:6C:08:62:15;up
10.0.0.3;ukjent;down
10.0.0.4;7C:0A:3F:62:57:34;up
10.0.0.5;70:D8:23:F9:6A:14;up
10.0.0.6;ukjent;down
10.0.0.7;ukjent;down
10.0.0.9;ukjent;down
10.0.0.10;ukjent;down
10.0.0.11;6A:62:CE:A4:EC:0A;up
10.0.0.12;ukjent;down
10.0.0.13;ukjent;down
10.0.0.14;00:0C:29:AB:86:A7;up
10.0.0.15;ukjent;down
10.0.0.16;ukjent;down
10.0.0.17;ukjent;down
10.0.0.18;ukjent;down
10.0.0.19;ukjent;down
10.0.0.20;ukjent;down
10.0.0.21;ukjent;down
10.0.0.22;ukjent;down
10.0.0.23;ukjent;down
10.0.0.24;ukjent;down
10.0.0.25;ukjent;down
10.0.0.26;ukjent;down
10.0.0.27;ukjent;down
10.0.0.28;ukjent;down
10.0.0.29;ukjent;down
10.0.0.30;ukjent;down
10.0.0.31;ukjent;down
10.0.0.32;ukjent;down
10.0.0.33;ukjent;down
10.0.0.34;ukjent;down
10.0.0.35;ukjent;down
10.0.0.36;ukjent;down
10.0.0.37;ukjent;down
10.0.0.38;ukjent;down
10.0.0.39;ukjent;down
10.0.0.40;ukjent;down
10.0.0.41;ukjent;down
10.0.0.42;ukjent;down
10.0.0.43;ukjent;down
10.0.0.44;ukjent;down
10.0.0.45;ukjent;down
10.0.0.46;ukjent;down
10.0.0.47;ukjent;down
10.0.0.48;ukjent;down
10.0.0.49;ukjent;down
10.0.0.50;ukjent;down
10.0.0.51;ukjent;down
10.0.0.52;ukjent;down
10.0.0.53;ukjent;down
10.0.0.54;ukjent;down
10.0.0.55;ukjent;down
10.0.0.56;ukjent;down
10.0.0.57;ukjent;down
10.0.0.58;ukjent;down
10.0.0.59;ukjent;down
10.0.0.60;ukjent;down
10.0.0.61;ukjent;down
10.0.0.62;ukjent;down
10.0.0.63;ukjent;down
10.0.0.64;ukjent;down
10.0.0.65;ukjent;down
10.0.0.66;ukjent;down
10.0.0.67;ukjent;down
10.0.0.68;ukjent;down
10.0.0.69;ukjent;down
10.0.0.70;ukjent;down
10.0.0.71;ukjent;down
10.0.0.72;ukjent;down
10.0.0.73;ukjent;down
10.0.0.74;ukjent;down
10.0.0.75;ukjent;down
10.0.0.76;ukjent;down
10.0.0.77;ukjent;down
10.0.0.78;ukjent;down
10.0.0.79;ukjent;down
10.0.0.80;ukjent;down
10.0.0.81;ukjent;down
10.0.0.82;ukjent;down
10.0.0.83;ukjent;down
10.0.0.84;ukjent;down
10.0.0.85;ukjent;down
10.0.0.86;ukjent;down
10.0.0.87;ukjent;down
10.0.0.88;ukjent;down
10.0.0.89;ukjent;down
10.0.0.90;ukjent;down
10.0.0.91;ukjent;down
10.0.0.92;ukjent;down
10.0.0.93;ukjent;down
10.0.0.94;ukjent;down
10.0.0.95;ukjent;down
10.0.0.96;ukjent;down
10.0.0.97;ukjent;down
10.0.0.98;ukjent;down
10.0.0.99;ukjent;down
10.0.0.100;ukjent;down
10.0.0.101;ukjent;down
10.0.0.102;ukjent;down
10.0.0.103;ukjent;down
10.0.0.104;ukjent;down
10.0.0.105;ukjent;down
10.0.0.106;ukjent;down
10.0.0.107;ukjent;down
10.0.0.108;ukjent;down
10.0.0.109;ukjent;down
10.0.0.110;ukjent;down
10.0.0.111;ukjent;down
10.0.0.112;ukjent;down
10.0.0.113;ukjent;down
10.0.0.114;ukjent;down
10.0.0.115;ukjent;down
10.0.0.116;ukjent;down
10.0.0.117;ukjent;down
10.0.0.118;ukjent;down
10.0.0.119;ukjent;down
10.0.0.120;ukjent;down
10.0.0.121;ukjent;down
10.0.0.122;ukjent;down
10.0.0.123;ukjent;down
10.0.0.124;ukjent;down
10.0.0.125;ukjent;down
10.0.0.126;ukjent;down
10.0.0.127;ukjent;down
10.0.0.128;ukjent;down
10.0.0.129;ukjent;down
10.0.0.130;ukjent;down
10.0.0.131;ukjent;down
10.0.0.132;ukjent;down
10.0.0.133;ukjent;down
10.0.0.134;ukjent;down
10.0.0.135;ukjent;down
10.0.0.136;ukjent;down
10.0.0.137;ukjent;down
10.0.0.138;F8:0D:A9:6A:05:50;up
10.0.0.139;ukjent;down
10.0.0.140;ukjent;down
10.0.0.141;ukjent;down
10.0.0.142;ukjent;down
10.0.0.143;ukjent;down
10.0.0.144;ukjent;down
10.0.0.145;ukjent;down
10.0.0.146;ukjent;down
10.0.0.147;ukjent;down
10.0.0.148;ukjent;down
10.0.0.149;ukjent;down
10.0.0.150;ukjent;down
10.0.0.151;ukjent;down
10.0.0.152;ukjent;down
10.0.0.153;ukjent;down
10.0.0.154;ukjent;down
10.0.0.155;ukjent;down
10.0.0.156;ukjent;down
10.0.0.157;ukjent;down
10.0.0.158;ukjent;down
10.0.0.159;ukjent;down
10.0.0.160;ukjent;down
10.0.0.161;ukjent;down
10.0.0.162;ukjent;down
10.0.0.163;ukjent;down
10.0.0.164;ukjent;down
10.0.0.165;ukjent;down
10.0.0.166;ukjent;down
10.0.0.167;ukjent;down
10.0.0.168;ukjent;down
10.0.0.169;ukjent;down
10.0.0.170;ukjent;down
10.0.0.171;ukjent;down
10.0.0.172;ukjent;down
10.0.0.173;ukjent;down
10.0.0.174;ukjent;down
10.0.0.175;ukjent;down
10.0.0.176;ukjent;down
10.0.0.177;ukjent;down
10.0.0.178;ukjent;down
10.0.0.179;ukjent;down
10.0.0.180;ukjent;down
10.0.0.181;ukjent;down
10.0.0.182;ukjent;down
10.0.0.183;ukjent;down
10.0.0.184;ukjent;down
10.0.0.185;ukjent;down
10.0.0.186;ukjent;down
10.0.0.187;ukjent;down
10.0.0.188;ukjent;down
10.0.0.189;ukjent;down
10.0.0.190;ukjent;down
10.0.0.191;ukjent;down
10.0.0.192;ukjent;down
10.0.0.193;ukjent;down
10.0.0.194;ukjent;down
10.0.0.195;ukjent;down
10.0.0.196;ukjent;down
10.0.0.197;ukjent;down
10.0.0.198;ukjent;down
10.0.0.199;ukjent;down
10.0.0.200;ukjent;down
10.0.0.201;ukjent;down
10.0.0.202;ukjent;down
10.0.0.203;ukjent;down
10.0.0.204;ukjent;down
10.0.0.205;ukjent;down
10.0.0.206;ukjent;down
10.0.0.207;ukjent;down
10.0.0.208;ukjent;down
10.0.0.209;ukjent;down
10.0.0.210;ukjent;down
10.0.0.211;ukjent;down
10.0.0.212;ukjent;down
10.0.0.213;ukjent;down
10.0.0.214;ukjent;down
10.0.0.215;ukjent;down
10.0.0.216;ukjent;down
10.0.0.217;ukjent;down
10.0.0.218;ukjent;down
10.0.0.219;ukjent;down
10.0.0.220;ukjent;down
10.0.0.221;ukjent;down
10.0.0.222;ukjent;down
10.0.0.223;ukjent;down
10.0.0.224;ukjent;down
10.0.0.225;ukjent;down
10.0.0.226;ukjent;down
10.0.0.227;ukjent;down
10.0.0.228;ukjent;down
10.0.0.229;ukjent;down
10.0.0.230;ukjent;down
10.0.0.231;ukjent;down
10.0.0.232;ukjent;down
10.0.0.233;ukjent;down
10.0.0.234;ukjent;down
10.0.0.235;ukjent;down
10.0.0.236;ukjent;down
10.0.0.237;ukjent;down
10.0.0.238;ukjent;down
10.0.0.239;ukjent;down
10.0.0.240;ukjent;down
10.0.0.241;ukjent;down
10.0.0.242;ukjent;down
10.0.0.243;ukjent;down
10.0.0.244;ukjent;down
10.0.0.245;ukjent;down
10.0.0.246;ukjent;down
10.0.0.247;ukjent;down
10.0.0.248;ukjent;down
10.0.0.249;ukjent;down
10.0.0.250;ukjent;down
10.0.0.251;ukjent;down
10.0.0.252;ukjent;down
10.0.0.253;ukjent;down
10.0.0.254;ukjent;down
10.0.0.255;ukjent;down
10.0.0.8;ukjent;up
